Route;A2P
Alcasagar_Hub_Bulk;3
Globahub_Hub_Bulk;4
TMB_WS_Hub_Bulk;5
TMB_DIR_Hub_Bulk;6
Inmobiles_Hub_Bulk;7
Test_IND_Jio_Hub_Bulk;8
Kaleyra_Hub_Bulk;2875
BSG_Estonia_Hub_Bulk;2220
Telenor_trans_Hub_Bulk;9
Telenor_transEUR_Hub_Bulk;13
MAR_MarocTelecom_60401_Bulk;60401
KOR_KT_45008_Bulk;45008
Nedimix_Hub_Bulk;1176
NTEC_Hub_Bulk;1177
TelecelGlobal_Hub_Bulk;1178
Etisalat2_Hub_Bulk;1179
Alibaba_OTP_Hub_Bulk;1180
Alibaba_promo_Hub_Bulk;1181
Turk_Telekom_Int_Hub_Bulk;1182
Turk_Telekom_Int2_Hub_Bulk;1183
MNE_CrnogorskiTelekom_29702_Bulk;1184
UniversalCall_DIR_Hub_Bulk;2222
UniversalCall_Hub_Bulk;2223
MN-GWID-Banglalink-TestTraf-BGD;47099
MN-GWID-Banglalink-BGD;47003
MN-GWID-A1-SVN;29340
BGD_Banglalink_47003_Bulk;109
HayoTelecom_Hub_Bulk;110
DeutscheTelecom3_Hub_Bulk;111
DigiTouch_Hub_Bulk;112
WAYVZ_HQ_Hub_Bulk;113
Globahub7_Hub_Bulk;114
Montnets_Dir_Hub_Bulk;115
Montnets_HQ_Hub_Bulk;116
Globahub8_Hub_Bulk;117
Bankai_0Hop_Hub_Bulk;118
LAO_StarTelecom_45703_Bulk;45703
SmartcomTech_Hub_Bulk;1445
SmartcomTech_DIR_Hub_Bulk;1446
COL_Tigo_732111_Bulk;1447
MN-GWID-019Mobile-ISR;1448
Telia_Hub_Bulk;2224
FIN_DNA_Finnet_24412_Bulk;24412
Etisalat3_Hub_Bulk;101
DottTelecom2_Hub_Bulk;1011
Sinch_LN_MT_Hub_int;102
MontyMobile_Hub_Bulk;10
Comtel_Hub_Bulk;11
AMDTelecom_Hub_Bulk;1217
Mobizone_Hub_Bulk;1205
SRB_VIP_22005_Bulk;1206
MKD_VIP_29403_Bulk;29403
VNM_Mobifone_45201_Bulk;45201
ISR_HotMobile_42507_Bulk;42507
ISR_Golan_42508_Bulk;42588
ISR_Xphone_42509_Bulk;42509
MN-GWID-VIP-SRB;22005
MN-GWID-Telemach-SVN;29370
MITTO_Hub_Bulk;12
DekSoft_Not_Direct_Hub_Bulk;14
Perito2_Hub_Bulk;3333
Karix_Hub_Bulk;3334
Wavecell_Local_Hub_Bulk;3335
Perito4_Hub_Bulk;3336
UA_3mob_25507_Bulk;3338
CHN_ChinaTelecomGlobal_46011_Bulk;46011
SIA_Vertex_LV1_Hub_Bulk;15
Silverstreet_BV_Hub_Bulk;16
Silverstreet_DIR_Hub_Bulk;26
CMTelecom2_Hub_Bulk;27
UA_TSU3_25521_Bulk;2282
UA_TSU4_25521_Bulk;2283
Airtel_Local_Hub_Bulk;28
Karix2_Hub_Bulk;29
Sinch2_Hub_Bulk;30
Mobishastra_Hub_Bulk;31
MrMessaging_Hub_Bulk;32
Sybase_Hub_Bulk;17
DeutscheTelecom2_Hub_Bulk;18
PER_Movistar_71606_Bulk;71606
TIS_OH_Hub_Bulk;19
TIS_WS_Hub_Bulk;20
Alienics_Hub_Bulk;21
BringoGroup2_Hub_Bulk;22
PAK_Ufone5_41003_Bulk;23
OpenMarket_Hub_Bulk;24
Antwerp_Sim_HUB_Bulk;25
TATA3_Hub_Bulk;33
Karix3_Hub_Bulk;34
BringoGroup_Hub_Bulk;35
Telecall_Hub_Bulk;36
Akton_Hub_Bulk;37
RouteMobile_Hub_Bulk;90
MITTO_DIR_Hub_Bulk;91
TATA2_Hub_Bulk;92
Citic_Hub_Bulk;93
TATA_DIR_TOR_MON_Hub_Bulk;94
KDDI_Not_Direct_Hub_Bulk;95
KDDI_DIR_Hub_Bulk;96
HGC_Hub_Bulk;97
Acmetel_Hub_Bulk;98
ByteDance_Hub_Bulk;103
Bankai_Direct_Hub_Bulk;104
Lleida_Hub_Bulk;105
Montnets_Hub_Bulk;106
DottTelecom_prem_Hub_Bulk;107
Etisalat4_Hub_Bulk;108
SAMA_Hub_Bulk;99
ROU_TelecomRomania2_22603_Bulk;1101
Syniverse_Direct_Hub_Bulk;1102
Syniverse_Hub_Bulk;1103
Sinch_Hub_Bulk;1104
DekSoft_Hub_Bulk;1105
Horisen_Not_Direct_Hub_Bulk;1106
Devino_Direct_Hub_Bulk;1107
Horisen_Direct_Hub_Bulk;1108
LanckTelecom_Hub_Bulk;1110
LanckTelecom_DIR_Hub_Bulk;1111
MMD_Smart_Hub_Bulk;1112
Etisalat_Hub_Bulk;1113
eLux_Hub_Bulk;1114
LanckTelecom2_DIR_Hub_Bulk;1115
Mobizone_WS_Hub_Bulk;1116
MN-GWID-Etisalat-HUB;1117
MN-GWID-Telenor-HUB;1118
Tele2_HUB_Bulk;1119
Orange_Hub_Bulk;1120
TIS_DIR_Hub_Bulk;1121
Nexmo_Direct_HUB_Bulk;1122
DottTelecom_Hub_Bulk;1139
Viettel2_HUB_Bulk;1140
Orange_CM_Hub_BulkGV;1141
Orange_TR_Hub_BulkGV;1142
Orange_WS_Hub_BulkGV;1143
OnlineCity_Hub_Bulk;1144
Protel_Hub_Bulk;1145
Milagro_Telecom_Hub_Bulk;1146
Milagro_Telecom_DIR_Hub_Bulk;1147
Telebiz_Hub_Bulk;1148
QXTEL_Hub_Bulk;1149
IDT2_Hub_Bulk;1150
Mediafon_Hub_Bulk;1151
Apifonica_Hub_Bulk;1152
NetConnect_Hub_Bulk;1153
Nexmo_Not_Direct_HUB_Bulk;1123
Telin_Hub_Bulk;1234
IGSL_Hub_Bulk;7558
CMTelecom_Hub_Bulk;1235
Sunrise_Special_Hub_Bulk;1236
NextMobile3_Hub_Bulk;1237
Altan_Hub_Bulk;1238
Kaleyra_WS_Hub_Bulk;1239
TNSPlus_Hub_Bulk;1240
Globe_Teleservices_DIR_Hub_Bulk;1241
Globe_Teleservices_Hub_Bulk;1242
ChinaMobile_Hub_Bulk;1124
ChinaMobile2_Hub_Bulk;2775
ChinaMobile2_Hub_BulkGV;2776
ChinaMobile3_Hub_BulkGV;2777
Airtel_Hub_Bulk;1125
NTH_Hub_Bulk;1126
MontyMobileDIR_Hub_Bulk;1128
MN-GWID-Vodafone-HUB;1129
MFMSolutions_Hub_Bulk;1130
Cequens_Hub_Bulk;1132
BICS_Hub_Bulk;1131
Acmetel2_DIR_Hub_Bulk;1134
Viettel3_HUB_Bulk;1136
MOV_HUB_Bulk;1137
MOV2_HUB_Bulk;1138
NikitaMobile_Hub_Bulk;1156
NikitaMobile2_Hub_Bulk;1157
PAK_Zong3_41004_Bulk;1189
Scarpel_Hub_Bulk;1190
MessageBird_Hub_Bulk;1191
MessageBird_Special_Hub_Bulk;1133
Acmetel_DIR_Hub_Bulk;1192
Infobip_Hub_Bulk;1193
RacutenViber_Hub_Bulk;1194
RacutenViber2_Hub_Bulk;1100
Telin3_Hub_Bulk;1195
Telefonica_Hub_Bulk;1196
Cakra_DIR_HUB_Bulk;1197
Cakra_Hub_Bulk;1198
Ritorica_Hub_Bulk;1201
Mobizone_DIR_Hub_Bulk;1204
Perito_Hub_Bulk;1203
Perito3_Hub_Bulk;4444
MN-GWID-Smart-PHL;1199
KDDI2_DIR_Hub_Bulk;3000
KDDI_OH_Hub_Bulk;100
Test_SMPP_to_BMS1;3001
Test_SMPP_to_BMS2;3002
KAZ_KCell_40102_Bulk;3003
Wavecell2_Hub_Bulk;3004
Tedexis_Hub_Bulk;3005
Axesnet_Hub_Bulk;3006
SAMA2_Hub_Bulk;3007
Tedexis_PRE_Hub_Bulk;3008
Tedexis_DIR_Hub_Bulk;3009
Tele2GLO_HUB_Bulk;3010
EGY_Etisalat_60203_Bulk;3011
EGY_Etisalat2_60203_Bulk;3012
MN-GWID-Telecom-ROU;22603
CHE_Sunrise_22802_Bulk;22802
LTU_Omnitel_24601_Bulk;24601
MN-GWID-Elisa-EST;24802
MN-GWID-MTS-RUS;25001
RUS_MTS_25001_Bulk;25111
MN-GWID-TMT-RUS;25027
RUS_Rostelecom_25039_Bulk;25039
RUS_Tele2_25020_Bulk;25020
RUS_Megafon_25002_Bulk;25002
MN-GWID-MTT-RUS;25042
RUS_GlobalTelecom_25048_Bulk;25048
RUS_SberbankTelecom_25050_Bulk;25050
MN-GWID-Vimpel-RUS;25099
MN-GWID-MTS-UKR-International;25501
MN-GWID-Kyivstar-UKR-International;25503
MN-GWID-JIO-IND-Mumbai;1488
To_BMS2_For_UA_Kyivstar_25503_INT;255061
To_BMS2_For_UA_Utel_25507_INT;25507
UA_Astelit_25506_Bulk_gmsu_mailru;25506
UA_Astelit2_25506_Bulk;255063
UA_TSU_25521_Bulk;25521
UA_TSU2_25521_Bulk;25599
MN-GWID-Velcom-BLR;25701
MN-GWID-MTS-BLR;25702
MN-GWID-Life-BLR;25704
MDA_Moldtelecom_25903_Bulk;25905
MDA_Interdnestrcom_25960_Bulk;25960
UA_Intertelecom_25504_Bulk;25504
MN-GWID-Polkomtel-POL;26001
POL_Orange_26003_Bulk;26003
POL_Orange2_26003_Bulk;2632
POL_P4_26006_Bulk;26006
MN-GWID-Geocell-GEO;28201
MN-GWID-Magticom-GEO;53
GEO_Magticom_28202_Bulk;28202
GEO_Geocell_28201_Bulk;28299
GEO_Mobitel_28204_Bulk;28204
MN-GWID-Armentel-ARM;28301
ARM_VivaCell_28305_Bulk;28305
ARM_Armentel_28301_Bulk;28399
MN-GWID-A1-BGR;28401
MN-GWID-Vivacom-BGR;28403
MN-GWID-Telemach-HRV;21902
HRV_Telemach_21902_Bulk;21902
GEA_AMobile_28988_Bulk;28988
MN-GWID-Azercell-AZE;40001
AZE_Azercell_40001_Bulk;40099
MN-GWID-Backcell-AZE;40002
MN-GWID-Azerfon-AZE;40004
AZE_Naxtel_40006_Bulk;40006
KAZ_Beeline2_40101_Bulk;40101
MN-GWID-KCell-KAZ;40102
KAZ_Altel_40107_Bulk;40107
KAZ_Tele2_40177_Bulk;40177
PAK_Jazz_41001_Bulk;41001
MN-GWID-Ufon-PAK;41003
PAK_Ufone4_41003_Bulk;410034
MN-GWID-Ufone_via_Etisalat-HUB;410037
PAK_Zong_41004_Bulk;41004
PAK_Zong_41004_others_Bulk;41099
MN-GWID-Dialog-LKA;41302
MMR_MyTel_41409_Bulk;41409
MN-GWID-Etisalat_via_DU-ARE;42499
MN-GWID-DU-ARE;42403
MN-GWID-Golan-ISR;42508
MN-GWID-Ncell-NPL;42902
MN-GWID-SmartTelecom-NPL;42904
NPL_SmartTelecom_42904_Bulk;42905
Pishropardaz2_Hub_Bulk;43211
UZB_Unitel_43404_Bulk;43404
ECONetworks_Hub_Bulk;1200
Horisen_Special_Hub_Bulk;1207
Tencent_Hub_Bulk;1208
Tencent2_Hub_Bulk;1209
MTNGroup_Hub_Bulk;1210
OTEGLOBE2_Hub_Bulk;1211
YX_Hub_Bulk;1212
Antwerp_Dir_HUB_Bulk;1213
Telenor_transEUR_Hub_Bulk;1213
Antwerp_Dir_HUB_Bulk;1213
NextMobile2_Hub_Bulk;1214
ESP_Orange_21403_Bulk;21403
Dexatel_Hub_Bulk;1215
Dexatel2_Hub_Bulk;1216
Dimoco_Hub_Bulk;1231
Dimoco_OTP_Hub_Bulk;1232
Dimoco_PD_Hub_Bulk;1233
Globahub3_Hub_Bulk;39
CarrierItalia_Hub_Bulk;40
CarrierItalia2_Hub_Bulk;41
NeuTrafix_Hub_Bulk;42
M360_Hub_Bulk;43
Globahub4_Hub_Bulk;44
Identidad_Telecom_Hub_Bulk;45
Identidad_Telecom2_Hub_Bulk;46
Inteltelecom_Latvia6_Hub_Bulk;47
Telcotest_Hub_Bulk;48
Globahub6_Hub_Bulk;49
Globahub5_Hub_Bulk;54
Twilio_Hub_Bulk;56
M360_2_Hub_Bulk;57
ByteDance2_Hub_Bulk;58
WAYVZ_DIR_Hub_Bulk;59
IBasis_Global_Hub_Bulk;60
Tion_Messaging_Hub_Bulk;61
ADA_Hub_Bulk;62
Etisalat_Local_Hub_Bulk;63
Globahub2_Hub_Bulk;64
IBasis_Global2_Hub_Bulk;65
Inteltelecom_Latvia_Hub_Bulk;66
Inteltelecom_Latvia2_Hub_Bulk;67
Inteltelecom_Latvia3_Hub_Bulk;68
Inteltelecom_Latvia4_Hub_Bulk;69
Inteltelecom_Latvia7_Hub_Bulk;71
Karix4_Hub_Bulk;72
PaaSoo_Hub_Bulk;73
Pronto_Hub_Bulk;74
RDcom_Hub_Bulk;75
Xotel_Hub_Bulk;76
Vesper_Hub_Bulk;77
DeutscheTelecom_PD_Hub_Bulk;78
ByteDance3_Hub_Bulk;79
C3NTRO_Hub_Bulk;80
Intergo_Telecom_DIR_Hub_Bulk;81
Intermax_Hub_Bulk;82
Sigma_Telecom_DIR_Hub_Bulk;83
Teleprom_LLC_Hub_Bulk;84
Tion_promo_Hub_Bulk;85
Tion_prem_Hub_Bulk;86
LanckTelecom_promo_Hub_Bulk;87
NetConnect_DIR_Hub_Bulk;88
KHM_Viettel_45608_Bulk;89
Rigelvoice_Hub_Bulk;55
TMB3_DIR_Hub_Bulk;52
Messente_Hub_Bulk;50
Yup_Chat_Hub_Bulk;51
Telink_Hub_Bulk;1294
MN-GWID-UMS-UZB;43407
MN-GWID-Tcell-TJK;43601
MN-GWID-TTMobile-TJK;1567
TJK_Tcell_South_43602_Bulk;43602
TJK_TTMobile_43603_Bulk;43603
TJK_Babilon2_43604_Bulk;43604
TJK_Tacom_43605_Bulk;43605
KGZ_Beeline_43701_Bulk;43701
MN-GWID-Beeline-KGZ;43799
MN-GWID-AlfaTelecom-KGZ;43705
KGZ_Alfa_Telecom_43705_2_Bulk;43705
MN-GWID-Nurtelecom-KGZ;43709
KGZ_Nurtelecom_43709_Bulk;43709
MN-GWID-GlobeTelecom-PHL;51502
DZA_Djezzy_60302_Bulk;60302
BOL_Nuevatel_73601_Bulk;73601
PHL_Smart_51503_Bulk;51503
UZB_Ucell_43405_Bulk;43405
UZB_Perfectum_43406_Bulk;43406
MN-GWID-Cellcom-GIN;61105
LUX_MTXConnect_27002_Bulk;27002
OTEGLOBE_Hub_Bulk;20201
THA_TrueMove_52004_Bulk;52004
AUT_A1_Telekom_23201_Bulk;23201
BRA_Cinco_72414_Bulk;72414
BRA_Claro_72405_Bulk;72405
YEM_Sabafon_42101_Bulk;42101
IDT_Hub_Bulk;38
